SIZE:100, AVG, SELECTIONNSORT, 4.85e-05
SIZE:100, BEST, SELECTIONSORT, 4.26e-05
SIZE:100, WORST, SELECTIONNSORT, 5.85e-05
SIZE:100, AVG, QUICKSORT, 0.0006169
SIZE:100, BEST, QUICKSORT, 0.0003711
SIZE:100, WORST, QUICKSORT, 0.0003606
SIZE:100, AVG, BUBBLESORT, 0.0001149
SIZE:100, BEST, BUBBLESORT, 4e-07
SIZE:100, WORST, BUBBLESORT, 0.0001341
SIZE:100, AVG, INSERTIONSORT, 4.29e-05
SIZE:100, BEST, INSERTIONSORT, 1.8e-06
SIZE:100, WORST, INSERTIONSORT, 8.08e-05
SIZE:100, AVG, SELECTIONNSORT, 4.87e-05
SIZE:100, BEST, SELECTIONSORT, 4.25e-05
SIZE:100, WORST, SELECTIONNSORT, 5.56e-05
SIZE:100, AVG, QUICKSORT, 0.0005947
SIZE:100, BEST, QUICKSORT, 0.0003677
SIZE:100, WORST, QUICKSORT, 0.0003617
SIZE:100, AVG, BUBBLESORT, 0.0001204
SIZE:100, BEST, BUBBLESORT, 4e-07
SIZE:100, WORST, BUBBLESORT, 0.0001344
SIZE:100, AVG, INSERTIONSORT, 4.54e-05
SIZE:100, BEST, INSERTIONSORT, 2e-06
SIZE:100, WORST, INSERTIONSORT, 8.09e-05
SIZE:100, AVG, SELECTIONNSORT, 4.85e-05
SIZE:100, BEST, SELECTIONSORT, 4.24e-05
SIZE:100, WORST, SELECTIONNSORT, 4.6e-05
SIZE:100, AVG, QUICKSORT, 0.0006209
SIZE:100, BEST, QUICKSORT, 0.0003645
SIZE:100, WORST, QUICKSORT, 0.0003695
SIZE:100, AVG, BUBBLESORT, 0.000114
SIZE:100, BEST, BUBBLESORT, 5e-07
SIZE:100, WORST, BUBBLESORT, 0.0001346
SIZE:100, AVG, INSERTIONSORT, 4.17e-05
SIZE:100, BEST, INSERTIONSORT, 1.9e-06
SIZE:100, WORST, INSERTIONSORT, 8.07e-05
SIZE:100, AVG, SELECTIONNSORT, 4.85e-05
SIZE:100, BEST, SELECTIONSORT, 4.24e-05
SIZE:100, WORST, SELECTIONNSORT, 4.75e-05
SIZE:100, AVG, QUICKSORT, 0.0006046
SIZE:100, BEST, QUICKSORT, 0.0003659
SIZE:100, WORST, QUICKSORT, 0.0003771
